Date,District,Block,Panchayat,Mouza,Type,Source,Hamlet,Lab,Code,Arsenic,TDS,Salinity,Fluoride,Iron,TC,FC,PH,Hardness 
13/5/2012,Murshidabad ,SAGARDIGHI,MOREGRAM,Bhola,PUBLIC,TW,Bhala,PHED,126,0.1517,,,,4,4,0,7.31,280 
13/5/2012,Murshidabad ,SAGARDIGHI,MOREGRAM,Keiyor,PUBLIC,TW,Kaiyar,PHED,130,0.0031,,,,7,0,0,7.2,280 
13/5/2012,Murshidabad ,SAGARDIGHI,MOREGRAM,Bhola,PUBLIC,TW,Bhala,PHED,129,0.0024,,,,7,0,0,7.36,290 
13/5/2012,Murshidabad ,SAGARDIGHI,MOREGRAM,Bhola,PUBLIC,TW,Bhala,PHED,127,0.0071,,,,4,7,0,7.4,310 
13/5/2012,Murshidabad ,SAGARDIGHI,MOREGRAM,Bhola,PUBLIC,TW,Bhala,PHED,125,0.004,,,,7,2,0,7.31,300 
13/5/2012,Murshidabad ,SAGARDIGHI,MOREGRAM,Bhola,PUBLIC,TW,Bhala,PHED,124,0.1513,,,,5,0,0,7.21,260 
13/5/2012,Murshidabad ,SAGARDIGHI,MOREGRAM,Bhola,PUBLIC,TW,Bhala,PHED,123,0.003,,,,5,2,0,7.31,310 
13/5/2012,Murshidabad ,SAGARDIGHI,MOREGRAM,Bhola,PUBLIC,TW,Bhala,PHED,122,0.0185,,,,5,4,0,7.2,280 
13/5/2012,Murshidabad ,SAGARDIGHI,MOREGRAM,Bhola,PUBLIC,TW,Bhala,PHED,128,0.0077,,,,1.25,0,0,7.29,280 
3/8/2010,Murshidabad ,BHARATPUR-I,TALGRAM,Shunuti ,PUBLIC,TW,Majhipara,Dr. Ambedkar Jana Seva Mission,118,,,,,0.44,0,0,7.33,208 
3/8/2010,Murshidabad ,BHARATPUR-I,TALGRAM,Shunuti ,PUBLIC,TW,Daspara,Dr. Ambedkar Jana Seva Mission,117,,,,,0.16,0,0,7.3,236 
3/8/2010,Murshidabad ,BHARATPUR-I,TALGRAM,Shunuti ,PUBLIC,TW,Playground,Dr. Ambedkar Jana Seva Mission,111,,,,,0.45,70,50,7.13,192 
3/8/2010,Murshidabad ,BHARATPUR-I,TALGRAM,Shunuti ,PUBLIC,TW,Dakshinpara,Dr. Ambedkar Jana Seva Mission,114,,,,,0.17,2,0,7.16,232 
3/8/2010,Murshidabad ,BHARATPUR-I,TALGRAM,Shunuti ,PUBLIC,TW,Playground,Dr. Ambedkar Jana Seva Mission,112,,,,,0.51,2,0,7.2,260 
3/8/2010,Murshidabad ,BHARATPUR-I,TALGRAM,Shunuti ,PUBLIC,TW,Bhatachariapara,Dr. Ambedkar Jana Seva Mission,119,,,,,0.17,0,0,7.2,212 
3/8/2010,Murshidabad ,BHARATPUR-I,TALGRAM,Shunuti ,PUBLIC,TW,Daspara,Dr. Ambedkar Jana Seva Mission,115,,,,,0.38,2,0,7.24,240 
3/8/2010,Murshidabad ,BHARATPUR-I,TALGRAM,Shunuti ,PUBLIC,TW,Dakshinpara,Dr. Ambedkar Jana Seva Mission,113,,,,,0.41,23,13,7.19,196 
3/8/2010,Murshidabad ,BHARATPUR-I,TALGRAM,Shunuti ,PUBLIC,TW,Daspara,Dr. Ambedkar Jana Seva Mission,116,,,,,0.1,30,23,7.16,264 
9/7/2010,Murshidabad ,RANINAGAR-I,HERAMPUR,Bishnupur ,PUBLIC,TW,Bishnupur,Rural National Club,62,0.0115,,,,4.5752,0,0,7.31,364 
9/7/2010,Murshidabad ,RANINAGAR-I,HERAMPUR,Bishnupur ,PUBLIC,TW,Bishnupur,Rural National Club,63,0.0417,,,,2.2788,6,0,7.36,264 
9/7/2010,Murshidabad ,RANINAGAR-I,HERAMPUR,Bishnupur ,PUBLIC,TW,Bishnupur,Rural National Club,64,0.0093,,,,0.3951,17,2,7.4,512 
9/7/2010,Murshidabad ,RANINAGAR-I,HERAMPUR,Bishnupur ,PUBLIC,TW,Bishnupur,Rural National Club,65,0.0282,,,,0.9476,0,0,7.29,420 
9/7/2010,Murshidabad ,RANINAGAR-I,HERAMPUR,Bishnupur ,PUBLIC,TW,Bishnupur,Rural National Club,66,0.0943,,,,1.6035,70,17,7.36,460 
9/7/2010,Murshidabad ,RANINAGAR-I,HERAMPUR,Bishnupur ,PUBLIC,TW,Bishnupur,Rural National Club,67,0.0078,,,,2.9042,0,0,7.31,380 
